"State","WhiteHispanicPerc","BlackHispanicPerc","IndianHispanicPerc","AsianHispanicPerc","HawaiianHispanicPerc","OtherHispanicPerc"
"Alabama","0.0257","0.0015","0.0006","0.0002","0.0001","0.0147"
"Alaska","0.0395","0.0018","0.0047","0.0014","0.0003","0.0227"
"Arizona","0.2252","0.0029","0.0058","0.0009","0.0002","0.0782"
"Arkansas","0.0429","0.0009","0.0009","0.0002","0.0000","0.0298"
"California","0.2252","0.0027","0.0042","0.0021","0.0004","0.1557"
"Colorado","0.1594","0.0022","0.0044","0.0006","0.0002","0.0486"
"Connecticut","0.0901","0.0082","0.0012","0.0004","0.0001","0.0607"
"Delaware","0.0645","0.0051","0.0009","0.0004","0.0002","0.0212"
"District of Columbia","0.0469","0.0087","0.0010","0.0006","0.0001","0.0527"
"Florida","0.2122","0.0075","0.0008","0.0005","0.0001","0.0346"
"Georgia","0.0589","0.0043","0.0017","0.0004","0.0001","0.0300"
"Hawaii","0.0296","0.0012","0.0010","0.0090","0.0070","0.0571"
"Idaho","0.0801","0.0004","0.0024","0.0007","0.0002","0.0417"
"Illinois","0.1022","0.0023","0.0014","0.0005","0.0001","0.0646"
"Indiana","0.0424","0.0015","0.0005","0.0002","0.0001","0.0247"
"Iowa","0.0433","0.0009","0.0009","0.0001","0.0001","0.0146"
"Kansas","0.0850","0.0020","0.0016","0.0003","0.0002","0.0297"
"Kentucky","0.0240","0.0011","0.0003","0.0001","0.0001","0.0111"
"Louisiana","0.0335","0.0023","0.0005","0.0002","0.0001","0.0147"
"Maine","0.0112","0.0008","0.0005","0.0001","0.0000","0.0039"
"Maryland","0.0466","0.0051","0.0008","0.0004","0.0001","0.0478"
"Massachusetts","0.0650","0.0072","0.0007","0.0004","0.0001","0.0448"
"Michigan","0.0338","0.0016","0.0008","0.0001","0.0000","0.0146"
"Minnesota","0.0300","0.0012","0.0010","0.0003","0.0000","0.0213"
"Mississippi","0.0179","0.0014","0.0003","0.0000","0.0000","0.0109"
"Missouri","0.0272","0.0008","0.0006","0.0002","0.0001","0.0128"
"Montana","0.0244","0.0006","0.0030","0.0002","0.0000","0.0102"
"Nebraska","0.0808","0.0013","0.0017","0.0002","0.0001","0.0246"
"Nevada","0.1637","0.0038","0.0037","0.0016","0.0006","0.1137"
"New Hampshire","0.0276","0.0024","0.0002","0.0002","0.0001","0.0071"
"New Jersey","0.1241","0.0078","0.0011","0.0007","0.0001","0.0683"
"New Mexico","0.3742","0.0030","0.0081","0.0011","0.0002","0.1012"
"New York","0.0805","0.0140","0.0017","0.0007","0.0002","0.0930"
"North Carolina","0.0560","0.0035","0.0011","0.0002","0.0002","0.0328"
"North Dakota","0.0213","0.0005","0.0020","0.0002","0","0.0134"
"Ohio","0.0239","0.0017","0.0005","0.0001","0.0001","0.0117"
"Oklahoma","0.0668","0.0014","0.0036","0.0003","0.0002","0.0340"
"Oregon","0.0860","0.0008","0.0024","0.0005","0.0002","0.0401"
"Pennsylvania","0.0409","0.0053","0.0008","0.0003","0.0001","0.0257"
"Puerto Rico","0.6498","0.1156","0.0020","0.0012","0.0001","0.2186"
"Rhode Island","0.0843","0.0105","0.0018","0.0005","0.0001","0.0571"
"South Carolina","0.0350","0.0020","0.0006","0.0001","0.0000","0.0191"
"South Dakota","0.0232","0.0004","0.0032","0.0001","0.0001","0.0110"
"Tennessee","0.0378","0.0016","0.0004","0.0002","0.0001","0.0143"
"Texas","0.3201","0.0035","0.0025","0.0006","0.0001","0.0665"
"Utah","0.0810","0.0007","0.0017","0.0003","0.0002","0.0565"
"Vermont","0.0137","0.0010","0.0005","0.0001","0.0000","0.0040"
"Virginia","0.0580","0.0039","0.0007","0.0006","0.0001","0.0304"
"Washington","0.0685","0.0015","0.0020","0.0008","0.0002","0.0537"
"West Virginia","0.0110","0.0006","0.0000","0.0001","0.0000","0.0038"
"Wisconsin","0.0417","0.0012","0.0008","0.0002","0.0001","0.0242"
"Wyoming","0.0738","0.0007","0.0028","0.0002","0.0002","0.0210"